ASM,Contrast,IDM,Entropy,Homogeneity,Sum Mean,Maximum Probability,Dissimilarity,Difference mean,Autocorrelation,Class
-1.156776776200652446e+00,1.906197065699293258e-01,-9.736069414296302238e-01,1.285698534348305611e+00,-9.402937953496400825e-01,1.212475176129720777e+00,-1.092783663532834071e+00,2.415910617656519821e-01,1.244922604674321809e+00,1.293973518432105507e+00,1
-2.081571582607316007e+00,1.050062696863472311e+00,-1.904354883609981730e+00,2.097182642073038394e+00,-1.920258847050010598e+00,2.221307453452150860e+00,-2.256140818411475735e+00,1.178330276131960730e+00,2.059523749823596095e+00,2.139768751318976481e+00,1
9.295359903660310730e-02,1.481650674144033633e-02,-1.721488244406921275e-02,-6.240974528384571340e-02,-3.388289266213824480e-03,-1.886019453214521913e-01,1.626945330367947085e-01,-1.105380856462876045e-02,1.168893164459188894e+00,-2.223646435930643206e-01,1
-1.222435935783874994e+00,-5.204567447962339388e-01,-5.759396505725675741e-01,1.148409456485636637e+00,-5.559145455219087761e-01,1.442080026687558192e+00,-1.184904705206843101e+00,-4.099500463140444695e-01,3.930825500434613207e-01,1.683917915066210913e+00,1
1.671400755115752368e+00,-1.131162806688603029e+00,1.439623129584619798e+00,-1.617249709627732734e+00,1.443292686320863272e+00,-1.419171476370207019e+00,1.478709414130448874e+00,-1.161850398920228011e+00,2.022331388966618626e-01,-1.314940997966036917e+00,1
8.672829971710224184e-01,-3.326122299108611458e-01,7.424134866486609141e-01,-8.612715767786723875e-01,7.333467060064243759e-01,-8.815695563073674412e-01,8.364941521543686198e-01,-3.632639420538348318e-01,4.520441567402375127e-01,-9.004383119602854535e-01,1
7.892081129162734632e-01,-2.343118818399438918e-01,6.252758385392542806e-01,-8.220028143016349098e-01,6.082649851972355970e-01,-8.424379353325539554e-01,7.706934080954411792e-01,-2.440079410406336691e-01,2.953304126271495966e-01,-8.843331526634236051e-01,1
6.351338120807185073e-01,-1.400106909490114182e-01,3.922574486725084464e-01,-5.217215923260831723e-01,3.978239010294217226e-01,-6.551117444828005176e-01,6.417239497535263126e-01,-1.735023958303967273e-01,8.290881153480124111e-01,-6.558413885136930022e-01,1
3.656741964551094015e-01,3.600718564933189647e-01,1.232008103294504886e-01,-2.983813232905566104e-01,1.160291713505894884e-01,-4.760142860609935522e-01,4.074733009173281406e-01,3.030452194127277177e-01,5.730706125896715131e-01,-5.403048439621831456e-01,1
-2.401431493276544593e-01,-5.239861497623905517e-01,4.352861762782329613e-01,5.013240512011735844e-02,4.376487350733056503e-01,3.728865146338369296e-01,-1.689412169998255886e-01,-5.469912299018322432e-01,9.997664505175710703e-01,5.770537950143226347e-01,1
3.730228571091948608e-01,1.198812866793607101e-01,1.268603272915025948e-01,-3.806217043087222196e-01,1.306565095322117787e-01,-5.158681782203555777e-01,4.127373604437402643e-01,1.323392259452146336e-01,5.622092639870807096e-01,-5.994395849632619955e-01,1
-3.630221784709553590e-01,1.392413412050611254e-01,-3.162430883670118709e-01,3.390923210191489345e-01,-3.110694551945601405e-01,2.214675198237754938e-01,-2.689583479676968536e-01,1.523475563461053617e-01,3.263628372039789061e-01,1.586404848447985627e-01,1
3.473810701380746768e-01,-3.515181906440008608e-01,2.874751401092916492e-01,-2.215651928662052128e-01,3.131652674534337044e-01,-2.677164354531653689e-01,3.916811223465808123e-01,-3.939116227407190030e-01,6.584097801754515977e-01,-1.441179252139567213e-01,1
-1.490925981899217545e+00,2.283973361189988616e+00,-2.015633050442001917e+00,1.578699342666211036e+00,-2.012653521558268821e+00,1.284857067004927522e+00,-1.484956098093480614e+00,2.283711132412785449e+00,1.353536090700230066e+00,1.050125854143172832e+00,1
-1.226007746946698340e+00,1.893703222723434054e+00,-1.492859254820562143e+00,1.319922107884622386e+00,-1.501961753007686085e+00,1.035312372674310311e+00,-1.174376586154019853e+00,1.849244529514196600e+00,1.514904698492136159e+00,8.584925541708054997e-01,1
-1.749643988921788962e+00,2.034118422514247460e+00,-1.844351693887282595e+00,1.682835853379735624e+00,-1.857034391855303612e+00,1.673361578213388601e+00,-1.819223877889062146e+00,2.054885703037653055e+00,1.054073193525520979e+00,1.501196495225457284e+00,1
1.094340993518693739e-01,-3.491913513484753984e-01,8.370761554142105987e-02,2.582911287413466959e-03,1.099115249431188851e-01,-8.913488501984653811e-02,1.784867116075420368e-01,-3.556417209504407206e-01,8.523624337811348539e-01,-2.514791524638498605e-03,1
3.607107422219725801e-01,-3.344567902676643389e-01,3.468630690613493384e-01,-3.504416022797760544e-01,3.525814792746331250e-01,-4.237786021629459943e-01,4.022092413909150732e-01,-3.138783011525198563e-01,7.794362360248855426e-01,-4.289058532421214376e-01,1
-6.977210613712528930e-01,6.192873909269109856e-01,-6.798026484377582834e-01,6.981660746762146097e-01,-6.660752040482148528e-01,7.219756554745649924e-01,-6.032261277632773311e-01,5.669646251222316691e-01,1.206132073955787254e+00,8.247308974257637759e-01,1
8.382755279884369637e-01,-9.100065965419884551e-01,8.405174620036084399e-01,-7.874574952282922258e-01,8.487780000237619138e-01,-7.522314234358709051e-01,8.128058842897600833e-01,-8.977721969363924304e-01,4.954895511475982950e-01,-6.644324370491050402e-01,1
3.514818365480392726e-01,-5.204567447962339388e-01,4.608887550347628426e-01,-3.324296740619063772e-01,4.681636691888240720e-01,-3.729874606339957932e-01,3.943131521055427968e-01,-5.007815144615447300e-01,6.537549164886268249e-01,-3.354969074537038076e-01,1
-2.981679033614967889e-01,-1.773152800065813939e-01,-2.018453419787741843e-01,3.171455777536143494e-01,-1.955814797998259302e-01,1.982000695211722230e-01,-2.057896336762194966e-01,-1.099838866354454769e-01,1.310090696285863832e+00,1.868130204119096416e-01,1
4.166698442448718009e-01,-7.049597556161308898e-01,5.439215534857964052e-01,-3.719446880762036778e-01,5.516124062805530803e-01,-4.029359194024093593e-01,4.522178068706080301e-01,-6.864143575892314164e-01,1.061831299675232820e+00,-3.381838720821444544e-01,1
2.329293340863907158e-01,-2.509724269893698900e-01,2.496533597436644270e-01,-1.970538985847048175e-01,2.547621588824287575e-01,-2.978454620181320567e-01,2.890319616197475350e-01,-2.563940503330091047e-01,1.173548028155020795e+00,-3.031007412842010029e-01,1
-6.408709151591017728e-01,9.800649196452383694e-02,-3.311179771859343313e-01,5.542785910048614317e-01,-3.376845289581438259e-01,5.037465760729534781e-01,-5.479535027571750261e-01,1.134424694625970481e-01,1.066486163361056505e+00,4.365843315120212509e-01,1
-7.747577973538775920e-02,-8.045346980227906508e-01,4.700116006608257013e-01,1.710872218509857171e-02,4.733384136398634534e-01,1.441845030587647902e-01,2.140717536408101845e-03,-7.874087872079238437e-01,1.043211844931937415e+00,2.985631652295372973e-01,1
-6.066699998137838057e-02,3.512279881625987588e-01,-1.592581098820306795e-01,1.057914205695733856e-01,-1.679022117651728652e-01,-7.670150248214567534e-02,2.056492587460552815e-02,3.217831796220376184e-01,9.547694348812686416e-01,-1.391890519860066455e-01,1
-3.047803891941622823e-01,-5.220006637454790432e-01,2.831291890803349087e-01,2.618846277960991120e-01,2.776825928515262443e-01,3.336259166698046785e-01,-2.136857229615926890e-01,-4.971292001857158249e-01,1.365949060525757597e+00,4.593174021021449449e-01,1
-7.770076348481799178e-01,-6.147485406535955210e-01,-1.101132086175385799e-01,7.426090005439062169e-01,-9.463342031849349134e-02,8.883817773719144828e-01,-6.874510801519141401e-01,-5.508023404560897784e-01,1.462149576716130106e+00,1.084398102640406814e+00,1
-4.938737082653777977e-01,-6.661613545129323466e-01,2.867202769925343564e-02,4.698781281378094365e-01,4.273877470891721680e-02,5.405824065065654160e-01,-3.979278063096117202e-01,-6.170203862921467275e-01,1.690237897351521967e+00,6.745269337505068741e-01,1
-1.421980886944626543e-01,-6.405629905920403599e-01,4.587449647573965117e-01,-7.137594867034430246e-02,4.733992727381064469e-01,3.634711938302050416e-01,-7.682017532581655872e-02,-6.544963067158877656e-01,1.926084324136625003e+00,6.723603423216300001e-01,1
-1.009851550845048518e+00,-2.003268750813055887e-01,-4.184962578368465747e-01,9.967831990070254999e-01,-4.117071532355553454e-01,1.152320304597817646e+00,-9.374939075588596404e-01,-1.519061027066737901e-01,1.136309118658421990e+00,1.354734914755135522e+00,1
4.946411187096447226e-01,3.393244670896494175e-01,9.941176761504715020e-02,-3.737315670255085820e-01,1.001216053687473406e-01,-6.036757179678242657e-01,5.206505806884965670e-01,2.844660554716040846e-01,4.225633533913489281e-01,-6.859770613261083616e-01,1
